age,gender,sleep_hours,screen_time_hours,distance_travelled_km,places_visited,exercise_minutes,work_hours,social_score,caffeine_mg,step_count,study_hours,phone_usage_type,screen_to_sleep_ratio,movement_intensity,stress_score,stress_level,random_noise_feature
51,Female,8.2,6.4,5.9,1,52,8,1,144,10458,3.8,study,0.78,5.9,33.1,low,99.3901
32,Male,6.4,4.5,9.4,2,46,5,5,0,1969,4.6,study,0.703,4.7,37.4,low,734.5533
24,Male,7.3,9.4,7.3,2,39,10,8,86,5587,3.3,study,1.288,3.65,70.6,high,280.3192
18,Female,,3.9,10.6,4,38,7,2,291,7692,2.6,mixed,0.574,2.65,39.7,low,274.4499
51,Female,6.1,4.3,2.4,1,45,4,6,190,10050,3.4,study,0.705,2.4,46.4,medium,793.8831
44,Male,5.4,,2.3,5,7,8,4,334,3824,0.3,mixed,0.407,0.46,58.7,medium,305.628
24,Male,6.7,6.6,11.9,2,78,5,7,224,5146,0.9,social,0.985,5.95,28.1,low,115.2187
45,Male,8.7,9.0,7.5,1,82,7,4,83,6404,4.9,study,1.034,7.5,44.0,medium,345.8775
32,Male,6.7,1.5,11.3,3,52,6,1,383,2330,4.4,study,0.224,3.767,37.4,low,906.4901
42,Male,8.0,2.2,,4,19,5,2,179,3583,3.5,study,0.275,0.875,69.3,medium,888.4472
42,Male,6.3,6.4,2.6,4,16,4,5,3,7598,0.3,social,1.016,0.65,52.6,medium,450.6977
49,Female,5.2,6.7,11.3,4,69,7,9,128,5222,1.1,social,1.288,2.825,37.9,low,611.5153
33,Male,7.7,8.1,4.0,7,29,6,6,245,4583,2.8,gaming,1.052,0.571,52.6,medium,330.3908
38,Male,5.9,9.7,12.0,7,4,8,3,136,9191,4.5,study,1.644,1.714,58.3,medium,136.4848
46,Male,4.9,3.2,9.8,1,7,7,3,31,1961,4.3,study,0.653,9.8,55.0,medium,591.7865
18,Male,5.7,9.7,1.1,3,30,10,5,255,6812,0.7,gaming,1.702,0.367,71.8,high,510.289
38,Female,8.4,5.0,2.0,4,2,10,1,50,6754,4.6,study,0.595,0.5,72.4,high,348.5496
40,Male,8.5,1.3,4.5,2,68,6,6,258,2340,1.2,mixed,0.153,2.25,37.7,low,676.1927
18,Male,8.8,5.6,1.2,3,25,4,1,56,11471,1.5,study,0.636,0.4,71.7,high,542.9887
43,Male,8.3,2.6,7.2,3,80,6,3,28,5543,0.9,mixed,0.313,2.4,35.3,low,296.394
30,Female,8.2,8.3,2.9,4,24,7,6,355,5637,0.6,gaming,1.012,0.725,68.9,medium,231.0418
35,Male,4.6,4.4,0.9,6,24,8,3,143,7751,4.8,study,0.957,0.15,63.7,medium,40.512
42,Male,5.2,5.4,6.3,5,57,8,9,279,1653,1.4,social,1.038,1.26,43.6,medium,596.727
49,Female,6.1,9.2,2.8,2,76,5,7,227,8106,4.6,study,1.508,1.4,36.0,low,579.8103
50,Female,8.7,5.0,3.5,4,57,6,4,182,6789,0.8,social,0.575,0.875,14.5,low,838.7101
46,Male,8.9,8.4,4.3,6,25,5,1,293,10575,0.8,gaming,0.944,0.717,59.0,medium,295.408
37,Female,6.5,2.5,9.6,7,60,8,6,221,11366,4.2,study,0.385,1.371,33.0,low,305.9229
37,Female,6.7,8.9,,2,74,4,7,325,3452,2.3,gaming,1.328,4.2,66.0,medium,342.225
25,Female,8.4,6.6,6.6,1,58,10,4,247,8977,0.5,social,0.786,6.6,47.0,medium,357.0558
29,Male,8.7,7.9,8.3,3,25,8,8,137,9607,2.2,gaming,0.908,2.767,45.5,medium,206.8588
30,Female,4.9,8.0,9.6,5,25,4,7,284,9382,2.0,gaming,1.633,1.92,78.1,high,562.5801
39,Female,8.8,4.0,9.8,3,70,9,6,147,9691,4.6,study,0.455,3.267,33.9,low,862.301
37,Female,,9.8,5.8,2,83,8,6,119,4986,0.8,gaming,1.815,2.9,71.4,high,720.1769
54,Female,8.4,9.2,11.4,7,88,6,2,55,6921,2.9,gaming,1.095,1.629,41.0,medium,502.7552
41,Male,5.4,5.5,3.0,5,8,5,6,202,10143,2.9,social,1.019,0.6,56.7,medium,962.6245
34,Male,8.5,4.2,6.7,7,8,6,4,301,4565,3.7,study,0.494,0.957,46.6,medium,111.7741
47,Female,8.2,1.8,6.4,3,49,9,2,115,9336,2.5,mixed,0.22,2.133,45.8,medium,439.708
48,Female,5.2,8.3,4.2,4,34,7,7,361,4701,3.6,study,1.596,1.05,77.2,high,856.7205
31,Female,5.0,8.2,7.3,7,37,7,8,109,11567,2.5,gaming,1.64,1.043,56.1,medium,202.4186
18,Male,6.8,8.2,4.5,2,0,10,8,156,2834,4.0,study,1.206,2.25,58.9,medium,152.6627
28,Male,5.8,5.7,4.2,2,23,4,3,40,9645,1.9,social,0.983,2.1,54.0,medium,202.9441
51,Other,,10.0,1.8,2,0,10,3,192,4167,1.1,gaming,1.408,0.9,72.0,high,540.7223
20,Male,6.4,2.5,4.0,1,61,4,3,19,3185,1.0,mixed,0.391,4.0,43.2,medium,631.7082
24,Female,6.0,4.6,0.9,4,43,10,2,374,9809,4.9,study,0.767,0.225,57.5,medium,141.7263
47,Male,8.8,4.8,2.5,2,0,10,9,295,10212,1.2,social,0.545,1.25,52.0,medium,47.9519
35,Female,8.1,1.7,,2,47,6,2,149,5129,1.2,mixed,0.21,1.65,46.9,medium,935.1141
32,Female,6.3,1.2,2.1,4,85,4,7,272,9155,0.1,mixed,0.19,0.525,36.8,low,764.3229
50,Male,7.4,7.2,6.7,1,31,4,7,286,5721,0.4,gaming,0.973,6.7,41.2,medium,893.0867
20,Male,8.5,5.1,3.5,2,74,7,3,201,5947,4.6,study,0.6,1.75,40.8,medium,52.1815
49,Female,8.2,5.1,1.1,4,21,4,1,49,9321,0.1,social,0.622,0.275,64.9,medium,787.7128
22,Male,7.0,2.9,7.3,7,15,6,7,264,8659,0.3,mixed,0.414,1.043,42.8,medium,631.7966
21,Other,6.0,5.5,6.3,4,35,9,3,69,8251,4.3,study,0.917,1.575,50.9,medium,141.7045
26,Female,8.2,9.4,,2,74,7,8,214,10221,4.1,study,1.146,5.45,38.8,low,14.7353
37,Male,5.3,7.3,7.5,5,82,4,2,22,11138,0.1,gaming,1.377,1.5,48.5,medium,115.2526
45,Female,6.9,2.8,7.8,6,4,9,8,96,3101,1.6,mixed,0.406,1.3,44.2,medium,189.4971
26,Other,6.8,4.7,1.5,6,81,7,1,63,7456,4.6,study,0.691,0.25,42.1,medium,610.5137
51,Male,8.6,3.8,3.9,6,5,10,2,334,2968,4.2,study,0.442,0.65,57.9,medium,338.5121
34,Female,6.6,5.9,7.3,4,35,4,2,45,7218,4.2,study,0.894,1.825,44.2,medium,85.8113
37,Female,6.3,1.3,5.3,4,58,10,2,246,10449,3.2,study,0.206,1.325,49.9,medium,913.3233
50,Female,8.3,7.7,2.5,4,54,6,1,263,5090,4.9,study,0.928,0.625,64.3,medium,506.7545
22,Female,7.8,9.2,8.0,1,81,5,6,41,10728,2.2,mixed,1.179,8.0,42.3,medium,504.7593
28,Female,8.9,1.5,9.9,7,3,9,9,338,9256,3.5,study,0.169,1.414,40.7,medium,275.4262
42,Female,8.5,9.9,3.2,7,20,8,5,285,7727,3.2,mixed,1.165,0.457,80.0,high,753.3837
40,Female,8.1,6.3,2.0,5,36,6,6,210,6759,3.9,study,0.778,0.4,46.3,medium,336.8185
52,Male,7.1,5.5,1.0,6,11,9,1,0,6761,3.4,study,0.775,0.167,78.5,high,519.6651
20,Female,6.6,7.1,7.8,6,51,9,2,67,9050,4.2,study,1.076,1.3,47.6,medium,991.3819
27,Female,7.1,5.1,,6,74,4,7,110,2089,3.2,study,0.718,1.7,28.7,low,738.9262
43,Other,7.1,1.5,6.4,2,41,5,1,15,7289,3.4,study,0.211,3.2,45.2,medium,482.4619
27,Male,7.5,2.7,6.4,5,35,7,4,221,8295,1.0,mixed,0.36,1.28,43.3,medium,448.0431
40,Male,7.6,2.7,4.3,6,25,5,5,44,5789,4.9,study,0.355,0.717,46.6,medium,347.4696
54,Male,8.2,8.4,5.9,2,17,9,9,96,7532,2.2,gaming,1.024,2.95,72.8,high,307.9295
44,Female,7.3,9.2,6.0,4,39,9,2,129,7856,0.2,gaming,1.26,1.5,70.1,high,678.8182
31,Female,8.7,5.6,8.5,5,53,9,1,36,11392,4.3,study,0.644,1.7,43.6,medium,414.6638
54,Male,8.1,9.2,9.9,4,58,6,2,163,2455,2.3,gaming,1.136,2.475,48.2,medium,260.5394
46,Female,14.0,3.8,8.1,5,39,4,9,113,5544,4.7,gaming,0.655,1.62,40.5,medium,425.8351
37,Male,6.1,2.1,4.6,4,22,5,3,152,6010,0.3,mixed,0.344,1.15,29.9,low,295.4953
41,Male,6.6,4.1,,1,3,9,9,326,1640,0.8,mixed,0.621,0.9,49.0,medium,47.4989
53,Male,7.1,5.6,7.5,6,61,10,5,378,11596,4.7,study,0.789,1.25,23.4,low,954.4391
20,Female,8.4,2.7,9.9,7,56,7,8,171,4000,1.4,mixed,0.321,1.414,31.3,low,347.1081
52,Male,5.5,3.4,6.8,3,1,7,9,211,3651,1.6,mixed,0.618,2.267,48.4,medium,527.8747
38,Male,6.2,4.7,11.4,7,72,8,6,336,4070,0.9,social,0.758,1.629,30.8,low,952.6625
32,Female,7.1,7.5,11.0,4,42,9,8,144,9307,2.3,gaming,1.056,2.75,40.8,medium,220.7047
24,Female,7.8,9.9,8.3,4,49,4,2,333,8065,1.1,gaming,1.269,2.075,65.8,medium,24.1297
47,Male,7.2,6.4,1.6,2,46,10,7,369,4362,2.9,social,0.889,0.8,49.8,medium,208.3844
20,Male,8.1,5.4,10.4,4,21,6,1,384,5084,4.4,study,0.667,2.6,44.0,medium,341.3978
29,Male,,7.2,6.2,3,3,7,2,357,8592,0.6,study,1.412,2.067,63.2,medium,924.121
21,Male,5.6,4.6,4.0,1,72,5,6,44,2047,1.7,social,0.821,4.0,43.8,medium,17.4732
35,Other,6.2,3.1,1.5,6,23,4,8,380,6454,1.5,mixed,0.5,0.25,47.7,medium,210.4447
45,Male,6.4,3.9,7.5,5,77,8,7,145,8305,2.5,mixed,0.609,1.5,32.1,low,746.0481
44,Female,4.7,7.7,4.3,2,0,8,7,56,5234,2.8,gaming,1.638,2.15,65.0,medium,22.0933
51,Female,7.2,6.6,11.2,2,79,9,2,322,4241,4.6,study,0.917,5.6,36.7,low,913.0514
18,Male,5.7,,0.6,5,82,6,8,304,8291,1.8,social,1.211,0.12,43.7,medium,669.1071
53,Male,5.1,9.7,6.5,5,86,6,2,345,10837,2.8,gaming,1.902,1.3,71.1,high,937.3286
52,Female,6.5,9.4,5.7,5,52,8,2,33,5491,0.6,gaming,1.446,1.14,72.9,high,667.798
33,Male,5.9,5.0,1.7,1,33,5,5,105,8818,1.5,social,0.847,1.7,51.0,medium,172.4957
26,Male,8.9,2.7,9.2,6,53,9,1,261,7064,0.7,mixed,0.303,1.533,42.7,medium,359.7
42,Male,7.2,3.3,4.8,7,54,10,5,350,4134,2.3,mixed,0.458,0.686,46.8,medium,401.4111
18,Male,6.7,4.2,5.6,4,1,7,3,12,2417,1.9,mixed,0.627,1.4,48.9,medium,958.9302
35,Female,7.5,4.3,1.3,5,27,9,2,382,4915,3.4,study,0.573,0.26,53.8,medium,152.1833
43,Female,,1.5,5.7,1,71,9,9,184,4006,0.2,mixed,0.167,5.7,35.7,low,439.5692
42,Male,6.6,3.9,3.1,6,48,7,9,303,9928,4.4,study,0.591,0.517,39.9,low,875.9123
47,Female,6.5,4.0,2.9,7,48,6,3,324,7534,2.8,mixed,0.615,0.414,46.1,medium,884.5734
21,Female,8.9,8.3,9.8,6,28,9,5,55,4016,4.0,study,0.933,1.633,50.6,medium,720.2271
22,Female,5.2,3.3,3.8,1,85,8,9,65,4586,3.9,gaming,0.635,3.8,41.5,medium,472.1751
27,Male,5.3,9.7,7.0,6,17,9,2,348,11580,0.9,gaming,1.83,1.167,72.2,high,148.6031
41,Female,8.1,6.1,4.0,4,3,5,1,356,10862,2.1,social,0.753,1.0,53.1,medium,793.6898
19,Female,6.3,3.1,3.4,2,28,4,8,232,9324,3.9,study,0.492,1.7,45.6,medium,952.5163
52,Male,4.9,3.9,1.4,2,21,6,6,66,11075,4.4,study,0.796,0.7,59.1,medium,904.8652
25,Male,4.7,3.9,8.0,3,4,4,8,209,2811,0.4,mixed,0.83,2.667,71.0,high,105.4511
27,Female,,7.7,10.9,7,9,5,9,332,8589,4.0,study,1.167,1.557,42.5,medium,773.5585
51,Female,7.0,20.0,3.3,5,23,8,6,171,11112,0.7,mixed,0.5,0.66,47.2,medium,995.7014
54,Male,,2.0,,4,69,5,2,5,7292,3.5,study,0.426,1.675,51.4,medium,131.2446
52,Male,7.1,8.0,3.0,2,19,9,3,43,4908,4.2,study,1.127,1.5,61.3,medium,554.8848
30,Female,7.6,4.6,10.8,2,41,7,8,264,9907,2.4,social,0.605,5.4,49.4,medium,406.119
33,Male,5.5,9.7,,4,55,6,2,294,2183,4.2,study,1.764,0.525,65.8,medium,761.3897
19,Female,7.9,8.9,1.6,4,82,5,7,184,7403,2.4,gaming,1.127,0.4,46.1,medium,230.712
46,Female,6.7,9.5,3.4,1,26,7,3,318,10709,3.8,study,1.418,3.4,61.8,medium,261.0863
36,Male,5.4,5.9,6.3,6,14,10,2,213,4866,4.8,study,1.093,1.05,62.7,medium,221.2304
41,Male,7.0,3.9,5.0,7,54,6,8,143,9409,3.5,study,0.557,0.714,37.6,low,869.0961
31,Male,6.1,2.1,3.4,1,52,9,6,354,4871,2.8,mixed,0.344,3.4,47.7,medium,92.8392
41,Female,6.5,3.1,10.7,5,34,6,7,86,8285,2.0,mixed,0.477,2.14,35.3,low,195.9122
20,Female,5.2,9.2,8.6,4,38,8,7,216,10487,1.4,gaming,1.769,2.15,79.4,high,213.016
24,Male,8.5,7.2,8.1,6,29,7,6,138,2287,2.5,gaming,0.847,1.35,37.2,low,332.9858
31,Female,6.7,9.5,7.5,2,10,10,4,67,6717,1.8,study,1.418,3.75,63.9,medium,801.1299
45,Female,5.4,7.4,1.0,2,23,8,6,12,2998,2.5,gaming,1.37,0.5,73.6,high,161.0372
39,Male,4.7,4.7,7.8,3,86,5,8,10,10757,4.7,study,1.0,2.6,46.9,medium,25.6675
40,Male,5.7,5.0,8.2,4,37,7,4,81,11622,0.3,social,0.877,2.05,46.4,medium,898.4267
20,Male,4.7,5.5,4.1,1,43,5,8,28,2917,1.3,social,1.17,4.1,53.2,medium,273.4579
22,Female,6.0,7.9,5.5,6,47,7,7,65,2497,1.5,gaming,1.317,0.917,49.4,medium,706.9982
49,Female,5.4,6.6,8.2,4,24,8,8,355,8631,3.8,study,1.222,2.05,48.9,medium,625.8335
51,Female,4.7,3.2,1.7,1,56,7,9,224,1516,1.2,mixed,0.681,1.7,51.2,medium,183.9973
19,Other,5.2,2.2,3.1,4,50,7,8,295,4723,0.1,mixed,0.423,0.775,49.7,medium,596.1256
27,Male,5.3,8.7,3.0,7,55,6,4,326,10829,1.6,gaming,1.642,0.429,61.7,medium,551.7601
25,Male,5.2,3.4,1.7,5,4,6,8,334,6381,2.6,mixed,0.654,0.34,56.1,medium,348.0205
51,Female,7.0,1.7,6.7,5,38,7,8,391,9764,4.4,study,0.243,1.34,38.4,low,812.0642
53,Male,8.2,4.1,1.8,4,35,7,6,32,4836,2.0,mixed,0.5,0.45,45.4,medium,779.2206
49,Male,5.7,7.4,8.1,6,70,6,6,282,7637,1.8,gaming,1.298,1.35,43.5,medium,849.0016
53,Female,5.8,5.3,1.5,1,73,5,3,237,11215,2.2,social,0.914,1.5,46.5,medium,438.3399
49,Female,4.7,6.1,1.5,7,66,7,3,91,8079,2.2,social,1.298,0.214,66.3,medium,301.5325
23,Female,7.5,8.3,11.9,1,86,4,1,9,2951,2.5,gaming,1.107,11.9,38.6,low,990.7627
51,Male,6.4,3.1,11.3,1,78,8,9,380,11602,2.9,mixed,0.484,11.3,25.4,low,624.9124
48,Male,6.0,2.8,,4,55,5,5,229,4050,3.0,mixed,0.467,1.65,42.0,medium,118.9027
48,Female,8.9,9.8,3.6,3,42,9,2,132,6441,0.6,gaming,1.101,1.2,79.6,high,124.331
49,Female,8.8,5.4,2.8,4,21,8,1,79,3267,1.3,social,0.614,0.7,64.8,medium,593.1583
29,Male,6.9,7.7,8.7,5,7,5,9,374,6885,4.0,mixed,1.116,1.74,45.1,medium,87.9571
51,Female,8.8,4.7,11.2,2,25,8,7,145,5952,4.0,mixed,0.534,5.6,36.4,low,502.3025
46,Female,8.6,3.1,7.2,6,39,6,7,268,6588,3.6,study,0.36,1.2,38.6,low,990.3774
25,Male,5.9,7.6,11.4,2,0,5,9,50,9742,3.3,study,1.288,5.7,45.7,medium,516.3688
54,Male,5.8,5.2,,7,86,7,3,139,11746,3.5,study,0.897,0.786,41.1,medium,108.782
50,Female,4.7,9.3,1.3,1,17,4,6,207,2025,2.5,gaming,1.979,1.3,72.8,high,474.0365
48,Female,8.5,2.1,5.2,3,9,8,9,143,7744,3.8,study,0.247,1.733,43.4,medium,817.7407
22,Female,7.7,2.3,4.7,6,68,8,5,242,3851,3.3,gaming,0.299,0.783,57.0,medium,918.8691
23,Female,5.5,5.4,1.0,3,55,9,2,277,4098,0.1,social,0.982,0.333,76.7,high,981.7248
32,Male,7.5,8.4,10.8,4,71,6,8,213,1666,0.2,gaming,1.12,2.7,36.0,low,620.5554
47,Female,7.0,5.6,0.9,1,2,4,4,246,6599,2.8,social,0.8,0.9,51.0,medium,390.3033
46,Female,5.3,2.7,7.2,3,2,8,7,301,2677,3.8,study,0.509,2.4,51.4,medium,642.9821
25,Male,6.8,7.3,8.4,1,54,9,6,10,3767,1.1,gaming,1.074,8.4,43.0,medium,218.0804
48,Other,8.9,5.0,10.2,2,16,4,6,95,8937,2.9,social,0.562,5.1,46.8,medium,215.8378
25,Female,4.8,1.9,4.7,2,7,6,5,388,3564,0.8,mixed,0.396,2.35,59.9,medium,567.5864
49,Female,6.4,5.1,3.5,1,2,7,5,79,5349,3.3,study,0.797,3.5,50.1,medium,472.0092
50,Female,4.9,7.9,9.7,3,59,8,9,118,8481,3.6,social,1.612,3.233,65.5,medium,295.2624
20,Other,5.0,7.5,4.1,5,87,4,7,57,2817,1.9,gaming,1.5,0.82,49.5,medium,140.0396
40,Female,7.2,7.3,6.5,2,5,10,3,368,6200,2.5,gaming,1.014,3.25,58.3,medium,956.1654
31,Female,6.6,9.9,1.1,5,5,5,7,345,5764,2.9,social,1.5,0.22,61.7,medium,728.1849
33,Male,8.1,5.3,8.4,4,18,10,7,257,2337,1.3,social,0.654,2.1,47.0,medium,913.4447
20,Female,5.9,7.9,6.7,5,80,5,1,284,6631,3.6,study,1.339,1.34,48.7,medium,315.5828
34,Male,6.9,3.5,1.5,5,61,4,2,234,11994,1.1,mixed,0.507,0.3,44.7,medium,46.0707
24,Female,7.9,4.2,4.2,7,48,10,4,15,3243,4.9,study,0.532,0.6,49.6,medium,717.9085
20,Female,6.6,8.3,4.0,6,13,9,4,161,3247,4.9,study,1.258,0.667,75.9,high,553.9688
53,Female,7.4,6.1,1.2,4,59,7,6,300,9710,3.8,study,0.824,0.3,41.4,medium,400.4647
52,Female,6.1,2.1,3.3,1,57,5,9,281,7653,2.8,mixed,0.344,3.3,40.9,medium,995.7771
21,Female,8.6,3.9,1.5,7,83,5,2,219,11525,2.5,mixed,0.453,0.214,17.7,low,928.8454
40,Male,5.9,6.8,9.2,1,3,8,6,180,9021,2.8,social,1.153,9.2,48.6,medium,857.8094
20,Male,8.7,5.5,4.9,7,43,8,2,151,8639,1.9,social,0.632,0.7,59.8,medium,136.0485
46,Male,6.8,8.7,10.7,3,82,8,2,239,2945,3.4,study,1.279,3.567,41.2,medium,812.4402
29,Male,7.4,1.8,6.0,4,16,7,6,248,3761,4.6,study,0.243,1.5,45.2,medium,400.7104
51,Female,7.7,3.7,10.6,7,44,9,6,351,8799,3.0,mixed,0.481,1.514,37.7,low,918.0857
25,Male,7.8,7.4,11.0,6,3,10,3,225,11500,3.3,study,0.949,1.833,77.4,high,256.9598
22,Male,8.6,2.7,6.1,4,86,4,3,228,8338,3.8,study,0.314,1.525,35.5,low,423.6513
45,Female,6.4,2.4,9.2,1,88,8,9,275,3417,1.5,mixed,0.375,9.2,33.8,low,352.6208
42,Male,7.6,2.0,1.3,6,76,7,3,190,9776,1.6,mixed,0.263,0.217,41.0,medium,702.5459
52,Male,5.7,4.4,1.8,1,7,6,3,288,10759,3.7,study,0.772,1.8,57.6,medium,20.0244
28,Male,8.2,5.3,2.8,6,16,6,2,92,9490,4.9,study,0.646,0.467,52.8,medium,440.6556
45,Female,7.4,9.9,1.9,1,31,9,6,238,1893,2.4,gaming,1.338,1.9,50.4,medium,230.1032
50,Female,7.6,7.0,5.5,4,44,7,4,111,10291,2.8,social,0.921,1.375,56.7,medium,785.1172
27,Female,6.6,8.0,8.0,7,39,8,1,26,10638,0.9,gaming,1.212,1.143,50.7,medium,227.1236
32,Male,5.6,,1.5,5,17,6,4,181,7470,1.9,gaming,1.268,0.3,80.3,high,637.9536
45,Male,,6.7,10.5,5,68,10,9,335,4884,2.2,social,0.882,2.1,35.9,low,742.789
36,Male,5.0,,1.7,7,46,4,3,380,4809,0.4,mixed,0.54,0.243,56.9,medium,733.5017
52,Male,6.1,3.4,2.0,2,0,8,3,138,1995,3.7,study,0.557,1.0,75.3,high,309.4454
27,Male,4.7,6.2,9.1,2,63,6,4,165,5213,3.8,study,1.319,4.55,48.3,medium,836.942
18,Female,6.5,6.0,2.8,4,29,6,1,137,6372,0.9,social,0.923,0.7,51.5,medium,23.5483
30,Male,8.9,4.3,5.1,3,79,4,8,305,5712,2.0,mixed,0.483,1.7,33.0,low,935.361
40,Male,9.0,8.8,1.1,1,71,7,5,299,8666,3.9,study,0.978,1.1,49.7,medium,130.7031
19,Female,7.9,5.4,2.3,7,30,10,3,349,10083,2.1,social,0.684,0.329,55.3,medium,281.4685
34,Male,5.4,9.4,2.1,3,73,9,1,185,9599,1.5,gaming,1.741,0.7,66.2,medium,189.6192
29,Male,7.4,9.1,1.0,6,22,9,2,396,6260,3.5,study,1.23,0.167,65.6,medium,503.3841
19,Female,7.2,4.4,0.8,3,62,9,4,373,3372,1.2,mixed,0.611,0.267,45.5,medium,692.3067
28,Other,5.2,3.7,8.5,3,67,9,9,46,7334,3.0,mixed,0.712,2.833,42.1,medium,898.2092
29,Female,8.9,5.5,4.8,2,89,6,8,348,4156,4.7,study,0.618,2.4,31.5,low,454.3712
39,Female,4.9,6.5,10.6,5,23,6,9,283,10266,2.2,social,1.327,2.12,19.6,low,398.1478
31,Female,4.5,1.1,11.7,5,9,4,4,69,7470,0.2,mixed,0.244,2.34,66.1,medium,282.0457
46,Male,7.5,6.7,6.7,3,78,8,7,41,11372,0.3,social,0.893,2.233,34.7,low,922.0623
38,Female,8.4,8.4,10.1,3,65,8,8,324,11773,1.5,gaming,1.0,3.367,37.9,low,672.1954
52,Female,8.5,6.6,1.5,1,48,9,4,276,7106,1.5,social,0.776,1.5,50.2,medium,51.0563
32,Female,6.5,8.8,5.0,7,17,10,9,297,11323,1.3,gaming,1.354,0.714,59.0,medium,37.7208
49,Male,6.3,2.3,0.8,6,52,9,5,53,10683,3.6,study,0.365,0.133,47.7,medium,182.193
43,Female,7.4,9.8,8.1,1,29,8,1,291,3578,2.4,gaming,1.324,8.1,58.7,medium,17.2857
53,Male,8.9,5.9,7.5,3,24,10,6,128,11603,1.9,social,0.663,2.5,48.0,medium,518.57
42,Female,7.6,9.8,7.8,6,55,7,2,8,3106,0.3,gaming,1.289,1.3,53.3,medium,864.0087
46,Male,5.8,6.1,10.4,6,61,7,2,286,3336,3.6,study,1.052,1.733,37.0,low,996.8561
41,Female,7.7,1.5,1.7,7,30,6,8,350,3443,1.2,mixed,0.195,0.243,44.3,medium,845.5612
21,Female,5.2,8.9,5.5,1,62,8,9,219,10483,1.5,gaming,1.712,5.5,93.5,high,44.8178
25,Male,7.6,1.5,7.3,4,13,7,3,365,11732,2.7,mixed,0.197,1.825,46.8,medium,433.3175
49,Female,9.0,3.2,11.3,5,22,4,7,291,4695,2.6,mixed,0.356,2.26,36.8,low,284.5463
39,Female,8.4,9.8,9.6,5,2,8,4,292,11555,4.2,study,1.167,1.92,73.0,high,285.8386
25,Female,8.9,2.9,7.2,4,15,4,5,231,11363,3.6,mixed,0.326,1.8,45.0,medium,172.904
18,Female,9.0,8.5,,3,12,9,4,384,6971,0.1,gaming,0.944,2.267,58.2,medium,568.5088
43,Female,8.7,2.2,8.7,2,7,9,4,16,9747,1.3,study,0.253,4.35,31.3,low,972.1525
44,Female,8.7,8.8,3.9,5,49,5,3,138,8616,2.6,gaming,1.011,0.78,73.2,high,565.2433
24,Male,7.4,4.9,1.8,3,8,9,3,23,7073,4.7,study,0.662,0.6,72.7,high,66.5684
49,Male,6.5,1.9,3.7,3,8,7,5,299,6713,0.2,mixed,0.292,1.233,49.2,medium,969.5439
49,Male,7.0,,7.9,2,39,5,3,276,4634,0.3,social,0.714,3.95,41.8,medium,81.998
47,Male,5.5,3.6,9.5,3,7,6,5,88,7202,0.0,mixed,0.655,3.167,49.2,medium,386.2943
24,Female,7.4,7.8,4.6,3,58,9,9,68,2855,4.7,mixed,1.054,1.533,45.6,medium,999.6089
23,Male,8.3,7.2,6.1,6,12,5,6,209,3827,1.8,gaming,0.867,1.017,49.5,medium,843.6858
29,Male,9.0,1.4,,7,44,4,8,131,4364,3.0,mixed,0.156,0.643,39.8,low,104.3948
28,Male,5.2,9.7,40.0,7,15,10,7,168,1740,4.8,mixed,1.865,1.014,71.1,high,361.352
26,Male,5.4,4.6,5.2,4,33,6,1,254,9278,1.2,social,0.852,1.3,67.6,medium,546.2341
20,Male,7.5,2.0,5.7,4,59,10,6,54,1687,4.5,study,0.267,1.425,43.8,medium,231.7428
52,Female,7.8,6.6,4.2,4,15,6,6,12,3710,2.0,social,0.846,1.05,23.9,low,963.4499
35,Female,8.6,9.0,7.4,2,43,6,8,360,3278,1.5,gaming,1.047,3.7,47.2,medium,447.8091
21,Female,7.7,5.6,2.9,2,13,9,1,315,8538,4.3,study,0.727,1.45,75.0,high,78.0794
22,Male,5.7,,7.2,1,5,8,7,229,4964,0.5,social,1.035,7.2,48.6,medium,510.9404
32,Male,5.5,5.8,1.6,5,30,10,2,392,10489,0.9,social,1.055,0.32,63.3,medium,749.2781
47,Female,6.0,4.4,6.4,6,65,6,5,37,9287,4.2,study,0.733,1.067,40.4,medium,626.7895
25,Other,8.4,1.2,1.4,1,61,8,1,93,8676,2.1,mixed,0.143,1.4,45.7,medium,202.4121
29,Female,7.1,3.3,4.2,1,66,6,3,196,1646,2.6,mixed,0.465,4.2,41.4,medium,891.4836
52,Male,4.6,6.0,9.7,3,28,8,3,60,7777,0.6,social,1.304,3.233,67.2,medium,30.6493
45,Female,6.2,8.7,1.0,5,43,10,5,104,6587,2.4,gaming,1.403,0.2,62.5,medium,293.3221
34,Male,8.0,2.0,0.8,2,28,6,9,110,3062,2.4,mixed,0.25,0.4,43.7,medium,944.3337
20,Female,6.5,2.2,8.2,4,5,5,3,193,8263,4.9,study,0.338,2.05,45.8,medium,855.8167
32,Male,5.4,2.8,,5,83,6,3,372,3544,0.3,mixed,0.519,1.76,40.5,medium,2.4886
33,Male,12.5,2.1,5.9,3,60,5,4,203,10767,3.9,mixed,0.241,1.967,39.4,low,513.9987
21,Male,15.0,5.9,8.4,1,9,7,8,363,10312,0.4,social,0.663,8.4,40.5,medium,273.3125
43,Female,8.8,9.4,7.9,3,50,9,6,391,9606,2.0,gaming,1.068,2.633,51.7,medium,574.7265
54,Female,8.3,8.5,6.9,3,65,4,9,258,6107,0.0,gaming,1.024,2.3,41.1,medium,848.4333
