age,gender,screen_time_hours,sleep_hours,distance_travelled_km,places_visited,exercise_minutes,work_hours,social_score,caffeine_mg,step_count,study_hours,phone_usage_type,screen_to_sleep_ratio,movement_intensity,stress_score,stress_level,random_noise_feature
48,Female,9.2,7.6,10.8,6,45,8,9,258,6868,5.2,social,1.211,1.8,41.3,medium,294.8721
52,Female,6.5,8.0,4.7,5,117,7,1,373,2250,0.8,social,0.812,0.94,34.8,low,737.1572
54,Male,8.1,4.4,3.7,2,51,4,5,53,14882,2.8,gaming,1.841,1.85,82.8,high,379.9813
30,Female,8.9,7.7,10.1,3,16,5,8,228,13259,0.2,gaming,1.156,3.367,48.9,medium,518.8578
53,Female,,7.5,5.8,2,70,5,8,214,10898,2.9,social,0.76,2.9,32.2,low,91.5332
52,Male,5.2,7.0,0.6,6,57,9,4,241,4814,0.2,social,0.743,0.1,43.8,medium,614.5343
18,Female,20.0,5.8,12.3,8,41,10,4,427,10894,3.7,social,1.224,1.538,43.0,medium,0.1024
46,Female,4.6,5.0,1.1,7,91,7,2,182,6714,0.7,study,0.92,0.157,47.4,medium,27.736
58,Male,6.2,4.1,8.8,8,10,4,4,465,12971,0.1,social,1.512,1.1,58.5,medium,738.2726
28,Female,4.9,6.2,10.5,9,44,6,3,372,1794,4.0,mixed,0.79,1.167,36.4,low,479.4511
20,Male,3.3,,7.0,9,78,4,2,170,13857,5.4,study,0.541,0.778,36.0,low,675.7335
53,Female,2.5,6.0,2.5,1,67,9,4,326,12359,3.8,mixed,0.417,2.5,41.8,medium,739.6593
50,Female,8.9,5.1,7.1,2,60,4,7,283,6404,2.7,gaming,1.745,3.55,68.7,medium,6.3778
21,Female,9.2,6.7,9.5,6,115,5,7,389,9870,1.0,gaming,1.373,1.583,31.6,low,762.5815
24,Male,6.9,7.6,13.7,3,27,5,1,491,12114,2.8,social,0.908,4.567,41.0,medium,142.1189
22,Female,2.5,4.3,2.8,6,67,9,2,433,3766,3.6,mixed,0.581,0.467,57.8,medium,980.9342
52,Female,4.9,4.5,12.2,4,110,6,5,464,13874,1.6,mixed,1.089,3.05,30.2,low,820.3998
25,Male,6.0,6.8,6.2,5,114,4,2,158,7416,4.0,social,0.882,1.24,30.0,low,405.4697
54,Female,3.1,6.2,9.9,8,71,6,8,135,9428,1.1,mixed,0.5,1.238,25.8,low,504.2459
25,Female,9.0,6.2,,1,50,6,5,351,10378,0.0,gaming,1.452,2.4,43.4,medium,333.019
23,Male,5.1,5.0,0.9,1,75,8,2,201,9346,5.9,study,1.02,0.9,69.1,medium,53.4886
42,Female,4.8,4.4,11.4,5,30,5,8,185,4393,0.3,mixed,1.091,2.28,44.6,medium,767.5031
30,Male,8.3,4.6,0.8,8,9,9,1,491,9643,0.9,study,1.804,0.1,75.2,high,192.3566
40,Female,8.2,6.9,5.2,3,104,5,1,309,2070,0.3,gaming,1.188,1.733,41.6,medium,846.4224
28,Male,6.4,8.7,6.0,6,108,8,3,228,2417,0.8,social,0.736,1.0,31.9,low,516.0104
43,Male,7.4,7.1,,5,5,11,9,232,10161,1.5,social,1.042,2.12,47.4,medium,128.1006
47,Other,,5.2,9.8,1,92,4,2,218,12554,0.0,gaming,1.865,9.8,50.2,medium,972.1525
59,Female,5.7,9.0,3.5,9,39,10,6,16,3254,0.8,social,0.633,0.389,48.2,medium,108.34
28,Female,7.8,8.7,3.5,9,110,10,8,73,14151,3.0,social,0.897,0.389,38.9,low,863.591
59,Male,5.0,4.0,0.6,3,47,5,4,403,2918,0.9,mixed,1.25,0.2,61.8,medium,345.9313
41,Male,4.0,4.2,7.9,5,83,10,6,232,10250,0.8,mixed,0.952,1.58,51.6,medium,636.3975
27,Male,7.5,6.1,2.8,8,73,11,8,445,1554,4.5,study,1.23,0.35,49.8,medium,837.0057
31,Female,,8.5,14.2,3,100,4,7,369,3722,4.9,gaming,1.047,4.733,26.4,low,944.1028
42,Female,4.4,4.6,12.1,3,69,10,3,497,1606,3.4,mixed,0.957,4.033,44.2,medium,195.28
31,Other,9.8,5.4,6.2,8,98,5,2,129,2976,4.9,gaming,1.815,0.775,53.2,medium,831.4903
58,Male,4.3,7.6,7.9,4,16,5,4,238,5258,1.0,mixed,0.566,1.975,43.9,medium,932.3539
47,Female,9.4,5.5,10.8,8,77,9,8,254,7360,5.6,gaming,1.709,1.35,40.9,medium,632.9326
51,Female,5.6,6.8,3.3,3,90,11,8,163,12750,1.4,social,0.824,1.1,39.9,low,54.1427
19,Male,3.0,6.3,3.0,3,113,5,9,346,1316,0.3,mixed,0.476,1.0,26.6,low,516.2775
41,Female,6.5,8.2,11.9,4,81,9,7,456,10259,5.8,study,0.793,2.975,24.0,low,850.2464
50,Female,2.5,5.0,1.9,5,86,5,9,332,7322,2.6,mixed,0.5,0.38,40.0,medium,547.7077
23,Male,5.3,8.9,11.3,9,9,8,2,345,9162,5.7,study,0.596,1.256,41.1,medium,20.4936
42,Female,2.7,4.8,1.1,9,27,11,2,284,12117,5.0,study,0.563,0.122,53.4,medium,630.123
58,Male,3.1,4.7,3.9,5,101,5,7,50,12049,5.7,study,0.66,0.78,40.5,medium,370.9682
54,Male,6.1,8.0,5.5,2,50,9,4,80,14073,2.3,social,0.762,2.75,41.9,medium,252.869
43,Male,4.2,4.2,11.3,2,67,10,3,45,12820,3.5,mixed,1.0,5.65,49.0,medium,300.5023
31,Female,4.8,5.9,8.0,7,39,5,6,433,9099,1.5,mixed,0.814,1.143,38.3,low,479.3348
27,Female,4.9,4.3,14.2,9,57,8,6,373,6507,4.5,study,1.14,1.578,38.2,low,632.8639
34,Male,8.1,6.3,11.1,8,97,10,7,402,1069,0.5,study,1.286,1.388,32.5,low,378.7343
59,Female,5.5,7.9,4.5,1,46,5,7,163,5563,5.6,study,0.696,4.5,40.1,medium,835.0034
53,Female,2.2,,8.7,2,59,9,3,111,14813,2.4,mixed,0.338,4.35,36.1,low,95.1428
41,Male,5.0,5.2,11.9,8,91,10,4,290,5338,2.4,mixed,0.962,1.488,34.0,low,806.6226
44,Male,8.1,7.5,14.1,7,7,9,2,297,7628,1.5,gaming,1.08,2.014,45.4,medium,688.4907
50,Male,4.6,4.4,12.3,6,80,8,3,141,6489,2.2,mixed,1.045,2.05,39.2,low,86.7203
49,Male,9.3,5.7,6.4,9,54,6,9,269,2037,2.6,gaming,1.632,0.711,48.9,medium,747.7115
25,Female,6.2,4.6,9.6,6,30,5,7,283,3220,1.8,social,1.348,1.6,43.4,medium,921.651
49,Male,5.4,6.2,13.4,5,23,9,2,76,8649,2.0,social,0.871,2.68,37.4,low,681.2326
22,Male,6.6,6.3,,2,36,7,1,462,12466,4.7,study,1.048,0.8,64.4,medium,801.5261
35,Male,8.7,,5.3,6,49,5,8,356,1696,4.6,gaming,1.403,0.883,47.9,medium,646.043
58,Male,8.0,4.6,8.2,9,60,5,6,265,5275,4.7,study,1.739,0.911,52.2,medium,421.5556
18,Male,8.0,7.5,13.2,1,109,11,9,37,9989,0.5,social,1.067,13.2,28.1,low,770.4914
54,Male,3.6,7.5,5.5,5,72,6,3,179,12390,3.4,mixed,0.48,1.1,38.2,low,142.2602
44,Male,3.1,7.1,8.4,9,112,9,7,219,12101,5.5,study,0.437,0.933,21.1,low,557.0125
45,Female,9.1,8.2,7.5,5,2,8,3,185,12108,5.3,gaming,1.11,1.5,70.7,high,916.03
55,Female,8.7,5.8,8.6,9,86,6,9,447,14283,3.7,mixed,1.5,0.956,36.0,low,302.139
40,Female,6.5,7.6,10.4,7,45,6,1,348,13054,0.2,mixed,0.855,1.486,40.7,medium,533.3181
20,Male,4.4,8.4,12.7,8,43,4,5,144,4646,5.5,study,0.524,1.588,30.9,low,907.4131
42,Female,5.8,6.4,,6,89,9,2,178,14741,3.1,gaming,0.906,0.683,38.2,low,304.1774
24,Female,3.5,5.6,2.3,8,5,7,4,331,14783,0.2,mixed,0.625,0.288,45.4,medium,896.4223
41,Male,5.3,7.7,3.3,6,91,7,2,239,9981,0.4,social,0.688,0.55,26.2,low,970.3646
25,Male,3.7,5.0,10.9,7,80,9,9,91,2674,0.4,mixed,0.74,1.557,29.3,low,602.8626
32,Male,3.1,8.2,8.4,2,23,9,2,194,12595,2.4,gaming,0.378,4.2,44.9,medium,272.3264
38,Female,5.1,6.2,13.2,4,103,8,1,256,13040,1.2,social,0.823,3.3,22.9,low,188.0685
28,Male,9.7,6.1,,9,66,6,4,204,13161,4.5,gaming,1.59,0.333,56.8,medium,703.345
41,Male,8.0,4.2,10.1,8,14,7,5,288,14175,5.4,gaming,1.905,1.262,61.8,medium,749.8447
46,Female,6.0,5.0,1.3,4,80,10,2,361,7086,3.3,social,1.2,0.325,66.0,medium,970.6018
24,Male,5.8,6.5,8.7,9,88,4,9,394,4450,3.8,social,0.892,0.967,23.1,low,565.8451
46,Male,5.6,7.5,9.9,3,47,11,7,31,14366,2.3,social,0.747,3.3,39.9,low,329.443
26,Female,5.2,7.8,50.0,1,99,10,8,477,11804,4.5,study,0.667,4.5,32.4,low,325.7855
24,Female,9.6,6.1,14.0,3,10,11,5,374,14921,4.5,mixed,1.574,4.667,75.5,high,101.8437
49,Female,7.3,6.7,14.6,6,88,11,8,165,11208,4.6,study,1.09,2.433,22.6,low,980.2648
55,Male,8.8,7.6,6.1,1,9,9,7,494,8116,5.9,gaming,1.158,6.1,54.2,medium,603.5862
29,Male,,5.8,8.4,6,78,10,7,273,11143,3.9,mixed,1.586,1.4,46.3,medium,76.001
46,Male,8.4,5.6,1.0,3,76,11,7,260,7059,4.0,gaming,1.5,0.333,57.2,medium,988.8475
21,Male,6.5,5.2,12.9,4,14,9,8,60,2601,3.4,gaming,1.25,3.225,73.9,high,903.3211
26,Male,7.5,7.1,9.8,2,107,8,4,455,14146,2.0,social,1.056,4.9,29.6,low,836.4291
46,Male,4.7,8.1,7.2,5,116,10,8,286,3866,5.5,study,0.58,1.44,24.9,low,396.754
35,Male,3.9,8.8,2.6,5,13,9,4,35,11457,2.9,mixed,0.443,0.52,51.2,medium,813.3933
49,Male,7.7,8.8,5.8,1,30,7,6,466,5274,5.1,study,0.875,5.8,49.4,medium,683.0993
43,Female,5.9,6.2,10.7,3,112,5,9,413,6704,1.5,social,0.952,3.567,15.2,low,279.6263
45,Male,3.3,4.5,7.8,8,86,10,5,268,3672,5.3,study,0.733,0.975,72.1,high,473.7306
30,Female,4.4,5.6,1.9,9,44,6,7,350,14134,1.8,mixed,0.786,0.211,46.0,medium,110.5253
57,Male,5.3,5.4,7.4,3,65,5,5,141,1693,1.0,social,0.981,2.467,39.2,low,838.3946
45,Male,3.1,7.6,9.5,7,75,4,4,211,12766,3.8,mixed,0.408,1.357,30.4,low,266.8478
29,Female,5.3,4.2,14.4,4,19,7,6,433,12253,1.2,social,1.262,3.6,41.5,medium,201.917
53,Female,7.0,8.0,5.1,1,55,7,9,333,13333,2.9,social,0.875,5.1,39.1,low,947.2755
19,Male,3.2,4.8,8.7,4,79,11,7,322,3732,1.1,mixed,0.667,2.175,44.9,medium,470.5821
40,Female,4.5,6.8,6.0,7,102,5,6,354,1037,4.4,social,0.662,0.857,27.9,low,412.9793
45,Male,9.5,8.0,0.6,1,86,7,9,7,11786,1.6,gaming,1.188,0.6,46.0,medium,175.1403
27,Female,5.8,6.7,9.0,8,107,7,3,267,3014,5.5,study,0.866,1.125,26.0,low,652.6338
59,Female,8.3,4.9,3.1,9,115,4,7,136,12073,5.0,gaming,1.694,0.344,46.5,medium,749.0439
48,Female,4.2,6.8,13.7,8,12,10,7,114,10806,2.0,mixed,0.618,1.712,35.6,low,333.6616
51,Female,7.3,6.7,13.0,6,39,8,9,368,8802,0.5,social,1.09,2.167,31.6,low,615.8926
54,Male,8.9,8.9,1.0,1,34,8,1,272,14836,0.3,gaming,1.0,1.0,51.2,medium,346.1603
52,Female,5.6,8.1,5.4,6,73,11,5,178,14958,3.4,social,0.691,0.9,43.8,medium,820.629
46,Female,9.7,6.1,10.9,4,23,8,2,225,3345,4.0,gaming,1.59,2.725,56.0,medium,845.7856
21,Female,4.6,5.9,8.0,3,85,8,6,12,10196,1.6,gaming,0.78,2.667,29.1,low,653.8202
53,Male,8.1,7.3,6.3,3,71,10,5,265,12032,3.7,gaming,1.11,2.1,47.2,medium,485.1285
43,Female,2.8,7.8,7.3,4,21,10,1,28,4130,1.1,mixed,0.359,1.825,52.1,medium,543.0131
34,Female,9.8,6.5,5.9,3,83,4,7,44,2451,1.8,gaming,1.508,1.967,45.9,medium,348.5163
43,Female,2.3,6.1,8.3,8,108,8,8,224,12731,5.2,study,0.377,1.038,20.8,low,157.7541
28,Male,10.0,8.3,1.3,9,108,10,9,66,3065,5.6,gaming,1.205,0.144,47.6,medium,95.0687
59,Female,7.9,7.6,5.2,7,51,10,6,46,14520,3.3,study,1.039,0.743,50.9,medium,469.4051
58,Female,2.8,4.9,10.2,3,53,5,6,446,2515,1.9,mixed,0.571,3.4,40.2,medium,26.6692
28,Male,5.0,6.3,13.9,3,118,9,2,402,4693,4.8,study,0.794,4.633,17.6,low,616.6142
38,Female,3.7,7.2,6.9,4,58,4,3,337,12584,1.1,study,0.514,1.725,38.9,low,132.7301
28,Female,2.7,7.5,12.7,5,102,9,6,346,14209,2.5,mixed,0.36,2.54,17.8,low,216.3902
52,Male,7.4,5.4,2.1,8,20,8,6,5,7714,1.2,social,1.37,0.262,71.1,high,910.6991
40,Male,9.9,5.2,1.9,7,57,7,9,273,5031,1.0,gaming,1.904,0.271,59.8,medium,688.6845
51,Male,9.4,6.6,12.9,9,65,9,5,155,10691,4.1,gaming,1.424,1.433,39.8,low,969.0033
33,Male,5.1,8.8,1.5,7,84,7,1,95,5806,1.5,social,0.58,0.214,42.0,medium,102.0928
19,Female,3.9,5.1,7.5,9,11,10,3,141,9551,3.1,mixed,0.765,0.833,56.9,medium,322.2177
33,Male,2.1,4.2,3.1,6,45,6,5,261,14243,4.3,study,0.5,0.517,71.7,high,523.8342
42,Female,20.0,5.0,13.9,6,116,4,6,282,13110,0.7,mixed,0.7,2.317,21.2,low,910.6425
56,Female,5.3,7.6,,9,65,6,2,29,2917,1.7,social,0.697,0.967,36.1,low,36.9901
50,Male,,8.1,2.0,7,80,5,3,148,14746,0.9,mixed,0.469,0.286,40.4,medium,757.1246
33,Male,6.4,5.0,9.0,4,86,7,6,49,14731,0.8,social,1.28,2.25,36.2,low,773.1443
41,Female,3.2,7.2,12.0,6,92,7,3,201,5366,4.8,study,0.444,2.0,24.5,low,681.653
38,Female,2.5,7.0,8.0,1,80,9,4,470,11535,0.4,mixed,0.357,8.0,31.7,low,890.5595
44,Male,6.0,5.9,4.9,9,106,7,1,470,11068,4.3,gaming,1.017,0.544,35.5,low,852.5768
22,Male,3.2,6.9,9.2,9,8,10,2,145,12045,0.4,mixed,0.464,1.022,48.3,medium,0.4821
33,Male,6.2,5.8,1.6,5,40,11,7,161,6690,3.5,social,1.069,0.32,54.0,medium,671.5655
41,Female,7.9,8.6,10.0,2,88,5,2,425,10717,4.4,study,0.919,5.0,37.1,low,356.5611
21,Other,2.6,5.7,7.4,1,97,6,1,434,9998,5.9,study,0.456,7.4,35.2,low,798.2428
55,Female,4.2,4.6,3.2,5,20,11,2,69,4052,2.6,mixed,0.913,0.64,72.5,high,423.0962
54,Male,8.1,7.0,,7,71,6,7,380,11244,1.5,gaming,1.157,0.414,45.8,medium,584.4963
59,Male,6.8,4.8,11.1,6,89,7,9,78,6817,6.0,study,1.417,1.85,32.1,low,637.5817
37,Female,5.2,6.2,0.6,5,111,7,9,296,2297,4.5,gaming,0.839,0.12,27.0,low,584.1055
41,Male,8.7,5.4,,6,116,8,2,448,1170,3.1,gaming,1.611,1.783,38.4,low,191.7252
33,Male,6.6,0.5,0.8,4,30,11,4,232,14548,5.7,study,1.065,0.2,59.6,medium,306.5815
47,Male,10.0,4.2,5.5,6,53,6,9,233,12941,3.9,gaming,2.381,0.917,71.4,high,651.4585
19,Female,3.0,4.3,11.6,2,111,7,9,481,8150,6.0,study,0.698,5.8,27.7,low,817.4432
23,Male,2.5,5.1,4.7,6,75,4,3,496,10749,4.6,study,0.49,0.783,18.4,low,616.3823
31,Female,3.3,8.0,4.6,6,34,9,7,26,11482,4.5,mixed,0.412,0.767,42.4,medium,528.1788
24,Male,2.3,6.5,3.9,9,38,4,9,160,13231,3.8,mixed,0.354,0.433,40.2,medium,343.7222
53,Female,6.9,6.6,5.6,7,67,9,6,348,6043,2.6,social,1.045,0.8,39.1,low,112.9183
35,Female,4.7,5.0,11.0,1,61,4,8,53,9050,4.6,study,0.94,11.0,34.2,low,76.8602
56,Other,6.9,5.5,15.0,2,21,10,2,89,3768,0.5,social,1.255,7.5,47.0,medium,678.1578
57,Female,7.3,8.7,9.7,6,98,5,4,11,14734,5.7,mixed,0.839,1.617,30.8,low,591.9897
34,Male,2.4,8.1,2.1,6,29,10,9,10,9872,4.8,study,0.296,0.35,47.4,medium,6.1551
18,Female,6.3,6.7,3.4,1,3,5,3,41,7685,0.1,social,0.94,3.4,65.7,medium,305.1143
19,Male,4.3,5.3,14.3,7,10,5,8,337,13897,5.1,study,0.811,2.043,35.0,low,844.6327
21,Female,5.9,5.8,2.2,8,77,9,3,165,8649,4.5,study,1.017,0.275,38.2,low,86.1292
36,Female,6.8,5.3,6.4,5,12,8,4,276,12001,2.0,social,1.283,1.28,70.6,high,557.2045
42,Male,5.2,8.6,8.0,6,88,5,1,151,12491,3.0,study,0.605,1.333,33.7,low,132.9045
46,Male,4.5,7.2,11.5,2,81,5,8,66,7032,5.1,study,0.625,5.75,21.4,low,352.7467
55,Female,2.7,8.3,3.3,5,3,8,6,225,14171,4.7,study,0.325,0.66,48.3,medium,469.0586
35,Male,5.9,8.4,10.1,9,11,7,6,353,12809,0.1,social,0.702,1.122,62.7,medium,33.3405
57,Male,3.7,8.3,,9,53,6,3,429,5789,3.8,mixed,0.446,0.178,45.8,medium,420.9198
36,Female,3.5,8.2,2.1,5,62,4,6,481,12701,2.5,mixed,0.427,0.42,40.4,medium,547.643
41,Female,6.8,6.4,14.2,2,17,10,4,281,8092,5.2,mixed,1.062,7.1,41.6,medium,889.9117
46,Male,9.1,7.4,10.1,5,25,6,3,464,2014,1.5,gaming,1.23,2.02,71.2,high,445.6738
35,Female,7.0,4.4,7.8,2,29,6,1,323,12664,1.2,social,1.591,3.9,80.9,high,174.5781
55,Male,9.6,5.6,0.6,4,65,7,5,296,1826,2.6,gaming,1.714,0.15,58.6,medium,423.3061
58,Female,4.4,5.8,4.7,7,55,8,5,65,13293,0.4,gaming,0.759,0.671,42.1,medium,898.5763
54,Female,4.6,8.7,14.5,7,38,5,7,168,3206,0.4,mixed,0.529,2.071,26.8,low,988.3981
41,Female,4.7,4.5,3.8,5,11,11,1,185,5767,4.7,study,1.044,0.76,73.6,high,701.7241
48,Female,7.3,4.0,7.4,4,112,4,8,322,1275,4.4,social,1.825,1.85,42.6,medium,388.4453
42,Male,3.1,7.9,2.2,8,117,6,1,327,1435,4.0,mixed,0.392,0.275,35.4,low,223.0583
28,Male,7.5,6.2,,6,51,4,1,398,8557,2.4,social,1.21,0.833,51.6,medium,465.1353
59,Female,3.6,7.3,2.8,2,26,6,6,262,4251,4.5,study,0.493,1.4,47.6,medium,61.9609
46,Male,2.8,5.7,10.8,7,67,10,7,119,12701,4.2,study,0.491,1.543,32.9,low,798.1667
24,Female,2.3,7.3,7.7,1,36,10,7,30,11165,1.6,mixed,0.315,7.7,41.4,medium,99.6443
25,Male,9.5,5.4,1.4,1,63,4,7,300,3981,1.3,gaming,1.759,1.4,70.3,high,930.9773
18,Male,4.6,4.9,3.4,6,3,5,8,46,7785,2.8,mixed,0.939,0.567,60.4,medium,905.2419
21,Male,20.0,5.1,6.7,5,111,10,7,495,1683,1.9,social,1.294,1.34,37.5,low,504.6842
23,Female,8.5,6.8,2.9,6,4,4,5,269,11199,1.4,study,1.25,0.483,45.6,medium,38.0177
30,Male,9.0,5.9,12.0,7,85,6,6,397,2896,5.1,gaming,1.525,1.714,35.1,low,150.842
42,Female,6.6,8.7,1.2,6,17,11,4,220,8477,0.8,social,0.759,0.2,72.6,high,583.1108
18,Male,22.0,6.4,13.9,4,32,5,5,159,10228,4.3,study,0.812,3.475,31.2,low,266.1548
24,Male,3.0,4.4,9.4,4,13,11,9,152,9501,1.3,mixed,0.682,2.35,70.9,high,472.5266
29,Female,7.9,6.3,7.6,9,90,11,3,112,8247,5.7,study,1.254,0.844,47.1,medium,963.0047
28,Male,4.4,6.7,7.1,5,13,4,2,378,1201,4.0,mixed,0.657,1.42,59.4,medium,387.5766
43,Male,5.2,8.4,4.3,2,109,8,7,109,13902,4.4,study,0.619,2.15,27.9,low,718.9043
42,Male,2.2,5.2,10.3,1,73,10,4,225,1598,0.0,mixed,0.423,10.3,40.0,medium,656.0671
35,Female,9.0,7.2,6.2,3,87,10,5,43,1531,3.9,gaming,1.25,2.067,47.8,medium,849.3489
51,Female,9.0,5.3,9.3,9,99,4,8,202,12232,5.4,gaming,1.698,1.033,38.7,low,290.2248
46,Male,8.7,5.8,5.2,6,31,6,4,120,3869,2.6,social,1.5,0.867,58.1,medium,384.9205
52,Male,7.2,6.8,14.1,6,91,11,3,10,4721,5.9,study,1.059,2.35,34.3,low,980.0088
38,Female,8.9,5.2,0.8,7,1,11,4,284,3550,3.1,gaming,1.712,0.114,77.2,high,869.0961
47,Male,3.3,8.2,6.6,9,41,7,6,494,9325,3.8,mixed,0.402,0.733,39.2,low,778.8033
25,Male,5.7,7.8,6.4,2,64,6,7,363,12692,0.7,mixed,0.731,3.2,37.5,low,937.5658
40,Male,5.0,6.7,3.7,6,28,11,5,17,2340,0.1,mixed,0.746,0.617,55.4,medium,216.4853
51,Male,2.3,,8.3,2,7,5,5,294,9839,2.8,mixed,0.511,4.15,54.0,medium,50.14
56,Male,6.5,8.9,7.7,4,72,5,6,229,1322,3.7,social,0.73,1.925,33.3,low,33.26
28,Female,3.6,6.7,6.6,9,31,5,5,463,7762,5.5,study,0.537,0.733,42.4,medium,250.7289
24,Male,9.4,6.9,5.2,6,64,7,8,382,14654,0.8,gaming,1.362,0.867,47.9,medium,229.3778
23,Male,18.0,6.9,,9,85,10,4,383,6845,5.7,gaming,1.232,1.467,36.9,low,304.8579
28,Male,7.8,6.1,6.2,3,87,10,6,126,8342,3.9,social,1.279,2.067,41.8,medium,381.5758
41,Other,3.3,4.6,3.8,5,71,4,6,404,2554,3.9,mixed,0.717,0.76,48.6,medium,235.9711
47,Female,6.8,4.4,8.1,7,3,10,4,428,4810,5.9,study,1.545,1.157,80.2,high,847.3272
22,Female,7.4,8.3,5.6,5,106,8,9,332,7773,4.0,social,0.892,1.12,29.7,low,314.0502
24,Female,4.9,5.1,10.0,1,45,10,6,83,14955,6.0,study,0.961,10.0,44.5,medium,354.3953
54,Female,2.5,6.5,0.7,7,88,6,8,412,3026,1.2,mixed,0.385,0.1,32.8,low,238.5995
38,Female,7.1,4.4,5.9,4,31,8,2,83,9309,1.6,social,1.614,1.475,64.2,medium,686.9898
24,Female,8.6,5.6,3.3,6,26,5,8,224,13618,2.2,study,1.536,0.55,58.3,medium,265.3865
52,Female,2.2,8.8,2.3,6,97,4,1,45,1906,2.2,mixed,0.25,0.383,70.3,high,439.4782
39,Female,3.7,4.9,7.0,5,49,7,5,445,5801,3.7,mixed,0.755,1.4,47.0,medium,41.8593
19,Male,5.1,7.4,11.8,5,64,11,6,203,7911,0.4,social,0.689,2.36,34.8,low,373.6946
50,Male,4.1,7.0,12.2,1,87,8,6,420,2480,0.8,mixed,0.586,12.2,21.6,low,836.2978
18,Male,5.3,6.1,6.3,5,105,11,9,147,14065,4.9,study,0.869,1.26,31.2,low,742.411
30,Female,9.1,8.7,10.5,3,21,10,9,419,1960,0.7,gaming,1.046,3.5,45.9,medium,512.7805
54,Female,4.5,4.3,6.8,1,105,8,4,192,9676,1.9,mixed,1.047,6.8,42.1,medium,956.9042
39,Female,6.9,6.9,11.9,6,46,4,8,355,10405,3.6,social,1.0,1.983,31.4,low,400.66
41,Female,4.3,7.3,8.3,3,88,5,2,15,8847,3.1,gaming,0.589,2.767,32.0,low,100.5767
20,Male,7.3,5.7,9.6,4,66,9,1,434,8734,4.3,study,1.281,2.4,43.3,medium,274.1599
56,Male,2.6,7.9,4.1,2,104,9,3,52,14441,3.3,mixed,0.329,2.05,34.0,low,184.1536
32,Male,7.3,7.6,1.3,4,104,6,2,141,4429,3.8,social,0.961,0.325,42.0,medium,48.512
57,Male,3.3,4.7,8.2,9,40,5,7,128,13674,3.9,mixed,0.702,0.911,46.2,medium,757.8112
27,Female,,8.9,9.7,2,119,8,1,376,6205,0.7,social,0.854,4.85,31.3,low,283.363
53,Female,3.8,6.3,8.0,2,115,4,3,43,12867,5.6,study,0.603,4.0,14.6,low,532.5105
49,Male,9.4,7.2,2.5,7,2,11,6,41,3484,2.4,gaming,1.306,0.357,70.4,high,386.7017
46,Male,6.6,7.2,10.9,2,0,11,8,137,8172,5.1,study,0.917,5.45,44.9,medium,296.0445
29,Male,2.8,8.9,,8,34,4,4,99,13491,3.1,mixed,0.315,1.1,34.9,low,27.3543
32,Male,3.1,8.9,13.6,2,39,6,3,227,13976,3.2,mixed,0.348,6.8,32.7,low,424.0178
57,Female,6.8,5.0,1.9,2,105,5,4,417,1454,3.4,social,1.36,0.95,45.4,medium,357.2884
33,Male,9.6,7.8,12.5,1,6,11,8,417,14869,4.8,gaming,1.231,12.5,71.0,high,705.7279
50,Female,8.0,6.3,4.5,4,25,7,8,303,12202,6.0,study,1.27,1.125,51.1,medium,162.2593
21,Female,7.0,5.3,10.9,2,63,8,3,54,3074,5.0,study,1.321,5.45,41.5,medium,874.414
26,Male,6.5,6.2,9.9,6,101,5,6,317,5350,4.6,study,1.048,1.65,45.9,medium,202.4186
32,Male,4.9,8.4,8.3,5,53,6,4,218,4991,5.8,study,0.583,1.66,36.6,low,509.4371
24,Male,3.2,7.9,9.7,1,70,10,2,410,9247,5.2,study,0.405,9.7,37.6,low,763.7509
50,Female,,5.3,7.8,5,3,10,3,261,8669,4.8,gaming,1.585,1.56,80.3,high,132.1225
34,Male,5.3,7.0,3.1,1,107,9,4,249,10098,1.6,social,0.757,3.1,33.6,low,587.7415
27,Male,3.3,6.4,11.5,8,20,5,4,393,8523,5.6,study,0.516,1.438,38.5,low,742.827
29,Male,8.9,5.6,11.7,2,108,7,2,374,11569,3.6,gaming,1.589,5.85,37.8,low,335.6829
18,Male,8.2,7.7,1.5,8,102,10,8,383,3264,4.0,gaming,1.065,0.188,42.8,medium,869.813
57,Female,3.3,8.3,10.0,1,70,10,7,418,13614,5.3,study,0.398,10.0,31.1,low,68.6201
31,Male,9.2,5.0,1.9,4,30,7,9,318,10610,3.2,study,1.84,0.475,82.1,high,852.7999
52,Female,5.0,7.7,8.5,3,57,9,5,395,10138,3.6,mixed,0.649,2.833,34.4,low,29.1035
18,Male,8.1,6.1,5.8,4,37,6,5,247,10911,2.5,gaming,1.328,1.45,50.8,medium,69.0743
43,Female,7.5,7.1,11.7,9,31,11,1,348,2498,1.6,social,1.056,1.3,53.5,medium,667.0629
51,Female,3.1,6.0,6.0,6,32,6,8,439,14717,0.4,mixed,0.517,1.0,39.5,low,14.8033
25,Female,3.4,8.9,12.6,6,43,10,1,40,7157,5.6,mixed,0.382,2.1,39.8,low,497.7889
56,Female,6.8,6.6,1.2,2,33,8,8,462,3035,0.7,gaming,1.03,0.6,47.0,medium,732.9439
43,Female,9.7,6.8,8.5,1,83,8,9,201,10269,3.0,gaming,1.426,8.5,39.1,low,873.1555
45,Male,8.6,4.8,6.5,7,52,11,5,388,13202,3.0,gaming,1.792,0.929,66.3,medium,358.795
